Date,Open,High,Low,Close,Volume
2022-04-19 04:00:00,12.08,13.02,12.07,12.91,31753902.0
2022-04-20 04:00:00,13.08,13.17,12.74,12.79,31528605.0
2022-04-21 04:00:00,13.02,13.33,12.225,12.33,32008952.0
2022-04-22 04:00:00,12.33,12.73,11.86,11.96,30357878.0
2022-04-25 04:00:00,11.83,12.16,11.68,12.11,31727574.0
2022-04-26 04:00:00,11.94,12.05,11.1,11.12,38666484.0
2022-04-27 04:00:00,11.01,11.195,10.53,10.56,54508483.0
2022-04-28 04:00:00,10.69,11.045,10.37,10.95,40070309.0
2022-04-29 04:00:00,10.9,11.23,10.36,10.4,30937495.0
2022-05-02 04:00:00,10.38,10.755,10.18,10.74,41193848.0
2022-05-03 04:00:00,10.69,10.98,10.44,10.55,31372676.0
2022-05-04 04:00:00,10.53,11.01,10.08,10.98,43206843.0
2022-05-05 04:00:00,10.8,10.8,9.98,10.12,40523644.0
2022-05-06 04:00:00,10.0,10.05,9.42,9.48,69691303.0
2022-05-09 04:00:00,7.78,7.85,7.32,7.46,170871733.0
2022-05-10 04:00:00,7.56,7.7032,6.93,7.29,86932388.0
2022-05-11 04:00:00,7.28,7.54,6.66,6.71,72894876.0
2022-05-12 04:00:00,6.55,7.38,6.44,7.34,82147335.0
2022-05-13 04:00:00,7.52,8.35,7.52,8.34,69242703.0
2022-05-16 04:00:00,8.17,8.43,8.01,8.04,46153164.0
2022-05-17 04:00:00,8.1,8.46,8.01,8.36,38620821.0
2022-05-18 04:00:00,8.21,8.43,7.92,8.01,29304567.0
2022-05-19 04:00:00,7.97,8.5814,7.945,8.31,35780868.0
2022-05-20 04:00:00,8.26,8.4,7.71,8.08,40879105.0
2022-05-23 04:00:00,8.01,8.17,7.8,8.01,27755176.0
2022-05-24 04:00:00,7.98,7.99,7.37,7.55,47218653.0
2022-05-25 04:00:00,7.52,8.0183,7.51,7.96,35068948.0
2022-05-26 04:00:00,7.84,8.4,7.77,8.36,39738920.0
2022-05-27 04:00:00,8.5,8.85,8.4336,8.85,37064602.0
2022-05-31 04:00:00,8.97,9.1,8.56,8.68,41672271.0
2022-06-01 04:00:00,8.72,8.9785,8.38,8.46,34438066.0
2022-06-02 04:00:00,8.54,9.39,8.4606,9.3,41479909.0
2022-06-03 04:00:00,9.04,9.25,8.86,8.94,36632342.0
2022-06-06 04:00:00,9.11,9.21,8.78,8.98,35101113.0
2022-06-07 04:00:00,8.89,9.14,8.73,9.13,28049430.0
2022-06-08 04:00:00,9.18,9.42,9.09,9.18,29056310.0
2022-06-09 04:00:00,9.13,9.16,8.67,8.68,30588227.0
2022-06-10 04:00:00,8.48,8.58,8.14,8.26,30293236.0
2022-06-13 04:00:00,7.99,8.0,7.5,7.64,40942971.0
2022-06-14 04:00:00,7.735,7.98,7.585,7.82,30564136.0
2022-06-15 04:00:00,7.92,8.3,7.815,8.12,38235303.0
2022-06-16 04:00:00,7.84,7.985,7.58,7.67,36793539.0
2022-06-17 04:00:00,7.7,8.33,7.69,8.24,45517993.0
2022-06-21 04:00:00,8.59,9.05,8.56,8.71,48887634.0
2022-06-22 04:00:00,8.52,9.285,8.45,9.01,43486258.0
2022-06-23 04:00:00,9.02,9.5,8.84,9.46,44618047.0
2022-06-24 04:00:00,9.53,10.2,9.48,10.19,67826046.0
2022-06-27 04:00:00,10.15,10.16,9.51,9.62,44767950.0
2022-06-28 04:00:00,9.57,9.88,9.19,9.31,45683156.0
2022-06-29 04:00:00,9.35,9.42,9.07,9.23,40408663.0
2022-06-30 04:00:00,9.02,9.19,8.72,9.07,33636395.0
2022-07-01 04:00:00,9.11,9.43,9.0305,9.27,33482389.0
2022-07-05 04:00:00,9.14,10.1,9.0,10.07,55913039.0
2022-07-06 04:00:00,10.01,10.31,9.74,9.8,54604339.0
2022-07-07 04:00:00,9.76,10.28,9.75,10.18,35672506.0
2022-07-08 04:00:00,9.92,10.38,9.83,10.17,36737070.0
2022-07-11 04:00:00,9.98,9.9938,9.53,9.56,34010399.0
2022-07-12 04:00:00,9.66,9.9599,9.27,9.49,42765812.0
2022-07-13 04:00:00,9.22,9.55,9.05,9.28,32461304.0
2022-07-14 04:00:00,9.23,9.28,8.85,8.9,26702065.0
2022-07-15 04:00:00,9.01,9.12,8.65,9.04,34918133.0
2022-07-18 04:00:00,9.25,9.45,9.005,9.03,32428356.0
2022-07-19 04:00:00,9.15,9.37,8.89,9.34,29033769.0
2022-07-20 04:00:00,9.44,10.2,9.44,10.11,40845162.0
2022-07-21 04:00:00,10.37,10.76,10.22,10.49,51691188.0
2022-07-22 04:00:00,10.35,10.57,9.73,9.84,38915495.0
2022-07-25 04:00:00,9.83,9.85,9.52,9.68,21484978.0
2022-07-26 04:00:00,9.66,9.66,9.38,9.4,21997819.0
2022-07-27 04:00:00,9.67,10.03,9.5,10.02,29810929.0
2022-07-28 04:00:00,10.03,10.2,9.74,10.13,27172854.0
2022-07-29 04:00:00,10.01,10.35,9.92,10.35,31106607.0
2022-08-01 04:00:00,10.25,10.7,10.1216,10.47,31694733.0
2022-08-02 04:00:00,10.32,11.23,10.26,10.92,40958813.0
2022-08-03 04:00:00,11.08,11.34,11.04,11.2,35796465.0
2022-08-04 04:00:00,11.19,11.41,11.03,11.32,32093381.0
2022-08-05 04:00:00,11.01,11.62,10.85,11.45,50264847.0
2022-08-08 04:00:00,9.77,10.4,9.71,9.82,125272644.0
2022-08-09 04:00:00,9.54,9.57,9.01,9.25,58788927.0
2022-08-10 04:00:00,9.51,9.66,9.32,9.59,46054905.0
2022-08-11 04:00:00,9.76,10.05,9.4,9.42,44790863.0
2022-08-12 04:00:00,9.55,9.97,9.42,9.91,30638186.0
2022-08-15 04:00:00,9.82,10.1,9.76,9.91,33263354.0
2022-08-16 04:00:00,9.85,9.88,9.36,9.74,40681240.0
2022-08-17 04:00:00,9.56,9.6188,9.33,9.43,33933634.0
2022-08-18 04:00:00,9.42,9.47,9.12,9.15,26365589.0
2022-08-19 04:00:00,9.0,9.01,8.48,8.51,40560185.0
2022-08-22 04:00:00,8.32,8.4,8.06,8.07,37824865.0
2022-08-23 04:00:00,8.1,8.28,8.0,8.01,25658542.0
2022-08-24 04:00:00,8.04,8.36,7.98,8.1,26576407.0
2022-08-25 04:00:00,8.22,8.43,8.05,8.42,25635573.0
2022-08-26 04:00:00,8.42,8.43,7.93,7.94,34150358.0
2022-08-29 04:00:00,7.82,7.9983,7.76,7.81,28566219.0
2022-08-30 04:00:00,7.93,7.975,7.68,7.79,27189202.0
2022-08-31 04:00:00,7.95,8.0,7.7,7.72,28691526.0
2022-09-01 04:00:00,7.61,7.62,7.22,7.49,39079702.0
2022-09-02 04:00:00,7.67,7.67,7.35,7.4,25965044.0
2022-09-06 04:00:00,7.45,7.46,7.17,7.28,30429420.0
2022-09-07 04:00:00,7.27,7.43,7.18,7.39,30329957.0
2022-09-08 04:00:00,7.33,7.53,7.27,7.53,26303595.0
2022-09-09 04:00:00,7.68,7.82,7.64,7.79,27860611.0
2022-09-12 04:00:00,7.86,8.03,7.82,8.01,30544819.0
